,text,label
0,यो समान राम्रो रहेछ,1
1,समान राम्रो रहेछ,1
2,राम्रो रहेछ,1
3,यो घडी मलाइ साँच्चिकै सुहाउछ । म यसलाई खरीद गर्नेछु।:),1
4,साँच्चिकै सुहाउछ,1
5,सुहाउछ,1
6,खरीद गर्नेछु,2
7,मूल्य प्रति अनुसार राम्रो उत्पादन,1
8,राम्रो उत्पादन,1
9,ठिकै उत्पादन हो,2
10,सामान त राम्रो रहिछ ।,1
11,वाह,1
12,सहि हो सहि हो,1
13,सहि हो,1
14,चाख् लाग्दो ,1
15,एकदम दामी छ ।,1
16,एकदम दामी,1
17,दामी छ,1
18,मेरा बच्चाहरू यसलाई प्रयोग गर्न मनपराउछन ,1
19,मेरा बच्चाहरू,2
20,यसलाई प्रयोग गर्न मनपराउछन,1
21,मनपराउछन,1
22,शुरुआती वा अनुभवी व्यक्तिको लागि उत्कृष्ट,1
23,शुरुआती वा अनुभवी,1
24,अनुभवी,1
25,व्यक्तिको लागि उत्कृष्ट,1
26,उत्कृष्ट,1
27,उनीहरूको लागि सस्तो ट्याब्लेट प्रयोग गर्न र सिक्नका लागि सजिलो छ ,1
28,ट्याब्लेट प्रयोग गर्न र सिक्नका लागि सजिलो छ,1
29,प्रयोग गर्न र सिक्नका लागि सजिलो छ,1
30,सजिलो छ,1
31,मूल्यको लागि मलाई लाग्छ यो ट्याब्लेट त्यहाँ सबै भन्दा राम्रो छ,1
32,सबै भन्दा राम्रो छ,1
33,यो सामन साइज को छ।मैले यसलाई मेरो पतिको लागि खरिद गरेँ किनकि उहाँसँग यो  फोनको तुलनामा ठूलो स्क्रिन छ,1
34,यो सामन साइज को छ,1
35,उहाँसँग यो  फोनको तुलनामा ठूलो स्क्रिन छ,2
36,यो उत्पादन ले आज  सम्म निराश छैन  मेरा बच्चाहरू यसलाई प्रयोग गर्न मनपराउछन,1
37,यो उत्पादन ले आज  सम्म निराश छैन,1
38,निराश छैन,1
39,मेरा बच्चाहरू यसलाई प्रयोग गर्न मनपराउछन,1
40,मेरा बच्चाहरू,2
41,"हल्का वजन, र मूल्य बिन्दुको लागि, निश्चित रूपमा खरीदको लायक",1
42,हल्का वजन,2
43,निश्चित रूपमा खरीदको लायक,1
44,म आफैं छनौटमा खुशी छु,1
45,छनौटमा खुशी छु,1
46,आफैं छनौटमा,2
47,पुस्तक पढ्नको लागी यो ट्याब्लेट ठीक छ ,1
48,यो ट्याब्लेट ठीक छ,1
49,म पुस्तकहरू आदेश र पाठकसँग पढ्न मन पराउँछु,1
50,पाठकसँग पढ्न मन पराउँछु,1
51,"उत्कृष्ट उत्पादन, पर्‍योग गर्न सजिलो छ, ठूला स्क्रिन चलचित्रहरू हेर्न र  पढ्न सजिलो छ",1
52,उत्कृष्ट उत्पादन,1
53,पर्‍योग गर्न सजिलो छ,1
54,चलचित्रहरू हेर्न र  पढ्न सजिलो छ,1
55,ठूला स्क्रिन,2
56,मेरो बुबाले आफ्नो पहिलो ट्याब्लेट किन्न  चाहानु भयो र यो धेरै राम्रो मूल्य हो यसमा  चलचित्रहरू हेर्न र खेल खेल्न सक्छन् यसको प्रयोग गर्न सजिलो छ,1
57,मेरो बुबाले आफ्नो पहिलो ट्याब्लेट किन्न  चाहानु भयो,2
58,चलचित्रहरू हेर्न र खेल खेल्न,2
59,खेल खेल्न सक्छन् यसको प्रयोग गर्न सजिलो छ,1
60,यसको प्रयोग गर्न सजिलो छ,1
61,स्क्रिनको आकार मनपर्छ,1
63,"ज्येष्ठ नागरिकका ज्ञान, सीप तथा अनुभव प्राप्त गरेर नयाँ पुस्तामा हस्तान्तरण गर्दै जानु जरुरी छ",1
64,सीप तथा अनुभव प्राप्त गरेर नयाँ पुस्तामा हस्तान्तरण गर्दै जानु जरुरी छ,1
65, पुस्तामा हस्तान्तरण गर्दै जानु,2
66,Mero bichar ma yo aakdam ramro xa,1
67,Mero bichar ma,2
68,yo aakdam ramro xa,1
69,हजुरहरुले डेलिवर गर्नु भएको समान निकै नै चित्त भुज्ने छ,1
70,हजुरहरुले डेलिवर गर्नु भएको समान,2
71,निकै नै चित्त भुज्ने छ,1
72,यहाँ बाट किनेको सामान ऎक्दमै राम्रो बलियो र टिकाउ छन्,1
73,ऎक्दमै राम्रो बलियो र टिकाउ छन्,1
74,बलियो,1
75,टिकाउ,1
76,राम्रो बलियो र टिकाउ छन्,1
77,नेपालको धरती उपज हो,1
78,धरती उपज हो,2
79,म खुशी छु,1
80,खुशी,2
81,मलाई खेल खेल्न मन पर्छ,1
82,खेल खेल्न मन पर्छ,1
83,म तिमीलाई माया गर्छु,1
84,माया गर्छु,1
85,इलेक्ट्रोनिक मिडिया एक प्रासंगिक र एक खुला स्रोत हो,1
86,एक प्रासंगिक,1
87,एक खुला स्रोत हो,1
88,अती सुन्दर प्रयास,1
89,अती सुन्दर,1
90,सुन्दर प्रयास,1
91,malai yo project ramro layo ,1
92,project ramro layo,1
93,ramro layo,1
94,रक्सी  पिएर बाटोमा सुत्दा नि महिलो नलाग्ने भयो अब रक्सी  पिउन सुरु गरुन्छ,1
95,रक्सी  पिएर बाटोमा सुत्दा नि महिलो नलाग्ने भयो,2
96,बाटोमा सुत्दा,0
97,अब रक्सी  पिउन सुरु गरुन्छ,0
98,बाटोमा सुत्दा नि महिलो नलाग्ने,2
99,सुरु गरुन्छ,2
100,सडक मा भन्दा पहिले नेताको दिमाख मा ब्रुमर लगाएर सफा गरिदिए देश चाडै बिकास हुन्थ्यो कि,1
101,सडक मा भन्दा पहिले,2
102,देश चाडै बिकास हुन्थ्यो,1
103,चाडै बिकास,1
104,नेताको दिमाख मा ब्रुमर लगाएर सफा गरिदिए,0
105,सफा गरिदिए,1
106,पहिला खाल्डाखुल्डी टाल्न भन रुटिने तेस्ता बुमरबाट होइन हेलिपम्प बाट सफा गरौला,1
107,पहिला खाल्डाखुल्डी टाल्न भन,1
108,बुमरबाट होइन हेलिपम्प बाट सफा गरौला,1
109,भन रुटिने,1
110,सफा गरौला,1
111,अनि वाहा भनौला,1
112,वाहा भनौला,1
113,पहिला सबै तिर राम्रो सँग पिच गरेर त्यसपछी सफा गर्न थाले हुन्छ,1
114,पहिला सबै तिर राम्रो सँग पिच गरेर,1
115,सफा गर्न थाले हुन्छ,1
116,पहिला सिहदरबार सफा गर्नु पर्छ  अनि उपत्यका मात्र हैन देश नै सफा हुन्छ,1
117,पहिला सिहदरबार सफा गर्नु पर्छ,1
118,उपत्यका मात्र हैन देश नै सफा हुन्छ,1
119,देश नै सफा हुन्छ,1
120,धन्यवाद तपाईहरु सबैलाई सामन उपलव्ध भएको छ,1
121,धन्यवाद तपाईहरु सबैलाई,1
122,सामन उपलव्ध भएको छ,2
123,सबैलाई सामन उपलव्ध भएको छ,2
124,मनपरि नबोलौँ भन्छु साला यस्तै पोष्ट देखेपछि दिमाग तातिन्छ,1
125,मनपरि नबोलौँ भन्छु,1
126,यस्तै पोष्ट देखेपछि दिमाग तातिन्छ,0
127,साला,0
128,दिमाग तातिन्छ,2
129,त्यसैले अामा-बुबालाई वृद्ध अाश्रम हाेईन घरमै अाफ्नाे साथमा राख्ने गर,1
130,अाफ्नाे साथमा राख्ने गर,2
131,जन्म दीनको लाखौ करोडौ सुभकामना,1
132,लाखौ करोडौ,2
133,सुभकामना,1
134,प्यारे सधै हासिखुसी रहनु,1
135,प्यारे,1
136,सधै हासिखुसी रहनु,1
137,अनाधिक्रित पार्किग नियंत्रण सवारी कसैको जन-जीवन उजाडी,1
138,अनाधिक्रित पार्किग,0
139,कसैको जन-जीवन उजाडी,1
140,फुटपाथ मा कपडा बेच्ने लाई जरिवाना तोकिन्छ यहाँ कलिला नानिका कपडा च्यात्ने हरु खुलेयाम घुमी रहेका छन,1
141,फुटपाथ मा कपडा बेच्ने लाई जरिवाना तोकिन्छ,1
142,यहाँ कलिला नानिका कपडा च्यात्ने हरु खुलेयाम घुमी रहेका छन,0
143,खुलेयाम घुमी रहेका छन,2
144,जरिवाना तोकिन्छ,1
145,त्यो कुनै चटपटे पसल मात्र हैन त्यो कसैको परिवारको खुसी किन्ने सपना पनि हो ,1
146,त्यो कुनै चटपटे पसल मात्र हैन,2
147,कसैको परिवारको खुसी किन्ने सपना पनि हो,1
148,सपना पनि हो,2
149,chaitra 16 saturday,2
150,chaitra 16,2
151,saturday,2
152,बोलेर भन्दा गरेर पो देखाउनु पर्छ र होईन भने येस्तो गर्नुपर्छ उस्तो गर्नुपर्छ यो गरे राम्रो त्यो गरे राम्रो भन्न त जो पनि सक्छ तर ब्यवहार मा लागू हुदैन,1
153,बोलेर भन्दा गरेर पो देखाउनु पर्छ,1
154,उस्तो गर्नुपर्छ यो गरे राम्रो त्यो गरे राम्रो भन्न त जो पनि सक्छ,1
155,भन्न त जो पनि सक्छ,2
156,यो गरे राम्रो त्यो गरे राम्रो,2
157,गरेर पो देखाउनु पर्छ,1
158,ब्यवहार मा लागू हुदैन,0
159,म पनि त्यही बिचमा छु,2
160,त्यही बिचमा,2
161,बिचमा छु,2
162,म पनि यहि छु भेट्ने महानुभाबलाइ उचित पुरस्कारको ब्यबस्था छ,1
163,म पनि यहि छु,2
164, भेट्ने महानुभाबलाइ उचित पुरस्कारको ब्यबस्था छ,1
165,पुरस्कारको ब्यबस्था छ,1
166,हिजो taxi driver ले गल्ती गर्यो बिरामी लाई सडकमा अलपत्र छोडेर!,1
167,हिजो taxi driver ले गल्ती गर्यो,2
168,बिरामी लाई सडकमा अलपत्र छोडेर,0
169,बिरामी सडकमा अलपत्र,0
170,यहाँ दोष नेता को भन्दा हामी जनता को बढी छ,1
171,यहाँ दोष नेता को,0
172,हामी जनता को बढी छ,2
173,बढी छ,2
174,हाम्रै सुरक्षा र भलोको निम्ति सपथ खाएकाहरु अनि हामी जनताकै रगत र पसिना बाट उठेको करबाट पालिने हरु ले किन यति विधि हेप्नु पर्या नीति नियम अनि कानुन निमुखाहरु को लागि मात्र हो,1
175,हामी जनताकै रगत र पसिना बाट उठेको करबाट पालिने हरु,0
176,हाम्रै सुरक्षा र भलोको निम्ति सपथ खाएकाहरु,1
177,कानुन निमुखाहरुको लागि मात्र हो ?,1
178,निमुखाहरु,2
179,सुरक्षा र भलोको निम्ति,1
180,शक्तिको आडमा अपराध गर्ने परम्परा को अन्त कहिले निर्दोष आफ्नो लेन मा हिडिरहेका मानिस लाई ठक्कर दिने यी अपराधी प्रहरी हुन  यिनलाई सजाय के  यससम्बन्ध मा सरकारी प्रतिक्रिया के र सजाय कार्यनयन हुन्छ कि हुन्न खबरदारी गरियोस,1
181,शक्तिको आडमा अपराध गर्ने परम्परा को अन्त कहिले निर्दोष आफ्नो लेन मा हिडिरहेका मानिस लाई ठक्कर दिने यी अपराधी प्रहरी हुन  यिनलाई सजाय के ?,1
182,शक्तिको आडमा अपराध गर्ने परम्परा,1
183,आफ्नो लेन मा हिडिरहेका मानिस लाई ठक्कर दिने ?,1
184,यी अपराधी प्रहरी हुन,0
185,यिनलाई सजाय के ?,2
186,यससम्बन्ध मा सरकारी प्रतिक्रिया के ?,2
187,सजाय कार्यनयन हुन्छ कि हुन्न,2
188,यससम्बन्ध मा सरकारी प्रतिक्रिया के र सजाय कार्यनयन हुन्छ कि हुन्न ?,2
189,खबरदारी गरियोस,1
190,मुल्य अन्त बजारको भन्दा फरक छैन,1
191,अन्त बजारको,2
192,बजारको भन्दा फरक छैन,2
193,फरक छैन,2
194,सामानको चित्त बुझ्दो मूल्य छ,1
195,चित्त बुझ्दो मूल्य छ,1
196,मूल्य छ,2
197,सम्बन्धित लाई कारबाही भयको भिडियो पनि छिट्टै हेर्न पाइयोस,1
198,कारबाही भयको भिडियो पनि छिट्टै हेर्न पाइयोस,0
199,छिट्टै हेर्न पाइयोस,2
200,कारबाही भयको,0
201,गाडीको पछाडी बसेकाहरुको झन ठूलो गल्ती छ देखेर नि न देख्या जस्तो गर्याछन,1
202,गाडीको पछाडी बसेकाहरु को झन ठूलो गल्ती छ,1
203,पछाडी बसेकाहरु,2
204,ठूलो गल्ती छ,2
205,देख्या जस्तो गर्याछन,0
206,dammi xaa bro,1
207,dammi xaa,1
208,राम्रो महसुस भयो कुनै पनि क्षेत्रहरूमा कुनै पिचिंग छैन राम्रो पैसामा पाए हजुर पनि आफुलाइ एक जोडा किन्नुहोस्,1
209,राम्रो महसुस भयो,1
210,कुनै पनि क्षेत्रहरूमा कुनै पिचिंग छैन,1
211,राम्रो पैसामा पाए हजुर पनि आफुलाइ एक जोडा किन्नुहोस्,1
212,आफुलाइ एक जोडा किन्नुहोस्,2
213,एक जोडा,2
214,उत्कृष्ट शैली धेरै सहज उत्कृष्ट मूल्य म आफ्नो नौसेना ग्रे सूट संग यो लुगा लगाउदा धेरै प्रशंसा प्राप्त गर्दछु,1
215,उत्कृष्ट शैली,1
216,धेरै सहज,1
217,उत्कृष्ट मूल्य,1
218,म आफ्नो नौसेना ग्रे सूट संग यो लुगा लगाउदा धेरै प्रशंसा प्राप्त गर्दछु,1
219,प्रशंसा प्राप्त गर्दछु,1
220,ो लुगा लगाउदा,2
221,खुसी लाग्यो छोरा,1
222,खुसी लाग्यो,1
223,हार्दिक आभार एक युवाको कदमलाइ हज्जारौं युवाहरुले साथ दिदा,1
224,हार्दिक आभार र धन्यवाद,1
225,युवाहरुले साथ दिदा,1
226,एक युवाको कदमलाइ हज्जारौं युवाहरुले साथ दिदा,1
227,धन्यवाद बाजुरेलिमन र धन्यवाद साथ दिने सबैलाइ साथै सहयोग सुझावको लागि,1
228,धन्यवाद बाजुरेलिमन,1
229,साथ दिने सबैलाइ साथै सहयोग सुझावको लागि,1
230,सुझावको लागि,2
231,Wow yo honi line thank you mahanayak rajesh hamal jiu congratulations kp brother,1
232,Wow yo honi line,1
233,thank you mahanayak rajesh hamal jiu,1
234,congratulations kp brother,1
235,thank you mahanayak rajesh hamal jiu congratulations kp brother,1
236,अति उत्तम कार्य  के पि भाइ,1
237,अति उत्तम कार्य,1
238,के पि भाइ,2
239,देश आफै बन्छ सुरुवात आफुबाट सुरु गरौ,1
240,देश आफै बन्छ,1
241,सुरुवात आफुबाट सुरु गरौ,1
242,सुरु गरौ,2
243,बिदेश मा फोहोर पनि भेटीनु पर्यो नि खैरे हरु ले Trash challenge हान्न  भाग्यमानी हुन आफ्नो देश मा गर्न न पाएको काम नेपाल मा आएर गर्न पाएको छन,1
244,बिदेश मा फोहोर पनि भेटीनु पर्यो नि,2
245,फोहोर पनि भेटीनु पर्यो नि,1
246,Trash challenge हान्न,2
247,भाग्यमानी हुन,1
248,आफ्नो देश मा गर्न न पाएको काम नेपाल मा आएर गर्न पाएको छन,1
249,नेपाल मा आएर गर्न पाएको छन,2
250,गर्न पाएको छन,2
251,Photo post गरेर भाइरल बनाइदिने नेपाली मिडिया मन पर्यो होला बिदेशी साईली लाई,1
252,Photo post गरेर भाइरल बनाइदिने नेपाली मिडिया,1
253,मन पर्यो होला बिदेशी साईली लाई,1
254,बिदेशी साईली,2
255,नेपाली मिडिया मन पर्यो,2
256,बृद्दा भत्ता दिएर आश्रम पठाईदिने ब्यबस्था गरौ,1
257,बृद्दा भत्ता,1
258,आश्रम पठाईदिने ब्यबस्था गरौ,1
259,ब्यबस्था गरौ,1
260,ठिक गर्यो,1
261,बिहे गरेपछि बुढीलाई यति माया गर्छु कि त्यो देखेर ससुराले पनि ज्वाई कान्छि छोरी नि हजुर नै लौजानुस भनोस् ,1
262,बिहे गरेपछि बुढीलाई यति माया गर्छु,1
263,त्यो देखेर ससुराले पनि ज्वाई कान्छि छोरी नि हजुर नै लौजानुस भनोस्,1
264,छोरी नि हजुर नै लौजानुस भनोस्,2
265,कान्छि छोरी,2
266,रुटिने होस गर तेरो पोस्टमा पनि कमेन्ट तिनिहरु कै troll गर्दै आउने गर्छ पर्लास फन्दामा त पनि अनि आफै बन्द होलास,1
267,रुटिने होस गर,0
268,ुटिने होस गर तेरो पोस्टमा पनि कमेन्ट तिनिहरु कै troll गर्दै आउने गर्छ,0
269,तेरो पोस्टमा पनि कमेन्ट तिनिहरु कै troll गर्दै आउने गर्छ,0
270,पर्लास फन्दामा,0
271,त पनि अनि आफै बन्द होलास,0
272,troll गर्दै आउने गर्छ,0
273,roll गर्दै आउने गर्छ पर्लास फन्दामा त पनि अनि आफै बन्द होलास,0
274,नराम्रो  हर्कत गर्ने सबैलाइ समात्नै पर्छ,1
275,नराम्रो  हर्कत गर्ने,0
276,सबैलाइ समात्नै पर्छ,0
277,देश बिगार्नेलाई खुल्ला छोड्ने तर फोटा बिगार्नेलाई सजाए रे,1
278,देश बिगार्नेलाई खुल्ला छोड्ने ?,1
279,तर फोटा बिगार्नेलाई सजाए रे,2
280,बिगार्नेलाई सजाए,1
281,खुल्ला छोड्ने,2
282,खुशीको खबर,1
283,खबर,1
284,टाउकोलाई समाते पो केही हुन्थ्यो  हाँगाबिगाहरु समातेर आफ्नो काम देखाउने काम बन्द गर्दा नै राम्रो,1
285,टाउकोलाई समाते पो केही हुन्थ्यो,0
286,समाते पो केही हुन्थ्यो,2
287,हाँगाबिगाहरु समातेर आफ्नो काम देखाउने,2
288,काम बन्द गर्दा नै राम्रो,1
289,सलाम साह साब,1
290,सलाम,1
291,साह साब,2
292,एस्तो राम्रो काम हुदै जाओस,1
293,एस्तो राम्रो काम,1
294,काम हुदै जाओस,2
295,राम्रो काम हुदै जाओस,1
296,बल्ल राजनीति पार्टी हरुको आँखा खुल्दैछ,1
297,आँखा खुल्दैछ,2
298,पार्टी हरुको आँखा खुल्दैछ,1
299,राजनीति पार्टी हरुको,2
300,म भोलि कलेजमा खाजा खाने पैसा दिन्छु,1
301,म भोलि,2
302,खाजा खाने पैसा दिन्छु,2
303,पैसा दिन्छु,2
304,आफुले सकेको सहयोग गरौ,1
305,सकेको सहयोग गरौ,1   
306,सहयोग गरौ,1
307,राष्ट्रपति र प्रधानमन्त्रीको फोटो बिगारेर पोष्ट गर्ने पक्राउ,1
308,फोटो बिगारेर पोष्ट गर्ने पक्राउ,1
309,राष्ट्रपति र प्रधानमन्त्रीको फोटो,2
310,राष्ट्रपति,2
311,प्रधानमन्त्रीको फोटो बिगारेर पोष्ट गर्ने पक्राउ,1
312,वेईज्जत नगरेको भए हुने हो,1
313,नगरेको भए हुने हो,2
314,वेईज्जत,0
315,फोटो झाक़ासको छ,1
316,झाक़ासको छ,1
317,नराम्रो काम गर्न अगाडी नसरौ,1
318,नराम्रो काम,0
319,अगाडी नसरौ,2
320,काम गर्न अगाडी नसरौ,0
321,balla yeuta gatilo kam garexaa,1
322,gatilo kam garexaa,1
323,yeuta gatilo kam,1
324,badhai xa,1
325,Wah Daju Ramro kaam,1
326,Wah Daju,1
327,Ramro kaam,1
328,इनि दाजु चाइ साचै निश्च्ल मनका रहिछ्न,1
329,इनि दाजु,2
330,साचै निश्च्ल मनका रहिछ्न,1
331,मनका रहिछ्न,1
332,dheari badhai tatha suvakamna xa hai,1
333,dheari badhai tatha suvakamna,1
334,suvakamna xa hai,1
335,Kun swarga ki apsara hau timi ?,1
336,swarga ki apsara,1
337,hau timi ?,2
338,Ho ta hai,2
339,Ho ta,2
340,सुसासनयुक्त अनि मर्यादित बनाउनु,1
341,सुसासनयुक्त,1
342,मर्यादित,1
343,मर्यादित बनाउनु,1
344,गरिमामय र निस्पक्ष,1
345,गरिमामय,1
346,निस्पक्ष,1
347,स्पष्ट निती निर्माण गर्नु पर्दछ,1
348,"योग्यता, क्षमता, इमानदार, सक्षम, निडर, बरिष्ट",1
349,योग्यता,2
350,इमानदार,1
351,सक्षम,1
352,निडर,1
353,बरिष्ट,1
354,"इमानदार, सक्षम",1
355,"निडर, बरिष्ट",1
356,सेनालाई जिम्मेवारी तथा साथ दिनु एकदमै सराहनीय कुरा हो,1
357,सेनालाई जिम्मेवारी तथा साथ दिनु,1
358,एकदमै सराहनीय कुरा हो,1
359,सराहनीय कुरा,1
360,जिम्मेवारी तथा साथ,1
361,राम्रो कुरा हो सेनालाई यो मात्र होइन राष्ट्रका हरेक अायोजनाका काम दिदा उत्तम हुन्छ,1
362,राम्रो कुरा हो,1
363,सेनालाई यो मात्र होइन राष्ट्रका हरेक अायोजनाका काम दिदा उत्तम हुन्छ,1
364,उत्तम हुन्छ,1
365,अायोजनाका काम दिदा उत्तम हुन्छ,1
366,हरेक अायोजनाका काम,2
367,समाज सेवी हातहरुलाई लाखौ लाख सलाम छ,1
368,समाज सेवी,1
369,लाखौ लाख सलाम छ,1
370,समाज सेवी हातहरु,1
371,घाईते सम्पुर्णमा शिघ्र स्वास्थ लाभ को कामना,1
372,शिघ्र स्वास्थ लाभ,2
373,लाभ को कामना,1
374,घाईते,2
375,सार्है दुख लाग्यो मृतकहरु को आत्माले चिर शान्ति पावोस् साथै घाइते भएकाहरुका लागि स्वास्थ्य लाभ कामना तथा सोकाकुल परिवार प्रति समवेदना प्रकट गर्दछौं,1
376,सार्है दुख लाग्यो,0
377,मृतकहरु को आत्माले चिर शान्ति पावोस्,1
378,सोकाकुल परिवार प्रति समवेदना प्रकट गर्दछौं,1
379,मवेदना प्रकट गर्दछौं,1
380,मृतकहरु को आत्माले चिर शान्ति पावोस्,1
381,हार्दिक श्रद्धाञ्जली,1
382,श्रद्धाञ्जली,1
383,हार्दिक,2
384,मान्छे सानो सानो कुरामा खुशी हुन हाँस्न जान्नु पर्छ रे,1
385,सानो सानो कुरामा,2
386,खुशी हुन हाँस्न जान्नु पर्छ रे,1
387,हाँस्न जान्नु,2
388,सानो सानो,2
389,नराम्रो कमेन्ट गर्न हुन्न पाप लाग्छ,1
390,पाप लाग्छ,0
391,नराम्रो कमेन्ट गर्न हुन्न,1
392,फोटो हाल्दा अलि इडिट गरेर हाल,2
393,अलि इडिट गरेर हाल,2
394,आफ्ना प्रोडक्टहरु धेरैभन्दा धेरै बिक्रि होस् भन्ने चाहन्छन् जुन आफैमा नराम्रो कुरा हैन,1
395,आफ्ना प्रोडक्टहरु धेरैभन्दा धेरै बिक्रि होस्,1
396,धेरैभन्दा धेरै बिक्रि होस्,1
397,धेरै बिक्रि होस् भन्ने चाहन्छन्,1
398,जुन आफैमा नराम्रो कुरा हैन,2
399,नराम्रो कुरा,0
400,हेरेको थिए तर बिस्वस नलागेर तपाईंको पोस्ट हेरेको हो रहेछ,1
401,हेरेको थिए,2
402,बिस्वस नलागेर तपाईंको पोस्ट हेरेको,2
403,बिस्वस नलागेर,0
404,तपाईंको पोस्ट हेरेको,2
405,हो रहेछ,2
406,देशका सबै युवा उठौ लागौ देश को मन सफाइमा,1
407,देशका सबै युवा उठौ,1
408,देश को मन सफाइमा,1
409,युवा उठौ लागौ देश को मन सफाइमा,1
410,मन सफाइमा,1
411,Nepal bandai xa,1
412,Nepal,2
413,Happy birthday legend,1
414,legend,1
415,Happy birthday,1
416,स्केच त राम्रै हो कपालमा कसले इरेजर लगाइदिएछ पछि,1
417,स्केच त राम्रै हो,2
418,कपालमा कसले इरेजर लगाइदिएछ पछि,2
419,इरेजर लगाइदिएछ पछि,1
420,जन्मदिनको सुभकामना आलु अर्जुन,1
421,जन्मदिनको सुभकामना आलु,0
422,जन्मदिनको सुभकामना,1
423,timi sarai ramro,1
424,sarai ramro,1
425,pOkHarA uNiVeRSitY iS LoVE,1
426,pOkHarA uNiVeRSitY,2
427,iS LoVE,1
428,खसी बिना दसै कसरी आउछ् ?,2
429,दसै कसरी आउछ् ?,2
430,मेकअप त भ्रम मात्रै हो,1
431,भ्रम मात्रै हो,2
432,असली मायामा कचेरा पुछ्दै भिडियोकल गरिन्छ,2
433,भिडियोकल गरिन्छ,2
434,कचेरा पुछ्दै,2
435,नेपाललाई लिएर जज लाई गाली गर्नु मुर्खता हो,1
436,जज लाई गाली गर्नु मुर्खता हो,2
437,मुर्खता हो,2
438,नेपाललाई लिएर जज लाई गाली गर्नु,0
439,राम्रो-नराम्रो भन्दा पनि हुने तथ्य यहि नै हो,1
440,राम्रो-नराम्रो,0
441,राम्रो-नराम्रो भन्दा पनि हुने,0
442,तथ्य यहि नै हो,2
443,आफुले आफै लाई राम्रो भन्नी ठान्नु पनि राम्रै हो,1
444,आफुले आफै लाई राम्रो भन्नी ठान्नु,1
445,राम्रो भन्नी ठान्नु,1
446,भन्नी ठान्नु,2
447,छोरीको जिन्दगी निकै सस्तो भएछ यहाँ,0
448,निकै सस्तो भएछ यहाँ,2
449,छोरीको जिन्दगी,2
450,छोरीको जिन्दगी निकै सस्तो भएछ,0
451,बधाई छ नेपाल सरकार,1
452,नेपाल सरकार,2
453,बधाई छ,1
454,जबसम्म तिम्रो देशमा मृत्युदण्डको सजाय हुदैन तवसम्म यस्ता घटनालाई सामान्य लिइयोस्,1
455,जबसम्म तिम्रो देशमा मृत्युदण्डको सजाय हुदैन,0
456,मृत्युदण्डको सजाय हुदैन,1
457,सजाय हुदैन,1
458,यस्ता घटनालाई सामान्य लिइयोस्,2
459,सामान्य लिइयोस्,2
460,घटनालाई सामान्य लिइयोस्,2
461, एउटा कुरा जिन्दगीले मज्जाले सिकाईदियो आफु आफै मा खुसी रहन अनि कोही बाट पनि आश नराख्न,1
462,एउटा कुरा जिन्दगीले मज्जाले सिकाईदियो,2
463, आफु आफै मा खुसी रहन,1
464,कोही बाट पनि आश नराख्न,1
465,जिन्दगीले मज्जाले सिकाईदियो,2
